otu	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
otu1263	0	3	6	20	14	1	20	6	15	14
otu1610	2	15	6	20	0	3	0	6	9	6
otu2452	16	17	6	15	6	15	4	0	0	1
otu1522	5	4	8	19	6	2	6	0	12	1
otu249	9	0	0	16	10	11	0	8	12	19
otu718	10	13	4	3	5	15	13	17	1	14
otu1531	20	7	17	1	3	5	6	3	3	19
otu126	6	13	5	7	18	19	13	7	18	11
otu2479	4	1	7	15	7	18	18	18	4	9
otu910	14	10	11	15	1	5	20	12	14	10
otu2758	10	7	15	5	8	1	3	19	10	3
otu1625	14	10	2	3	2	9	20	19	10	12
otu75	15	5	10	8	17	12	12	10	2	18
otu2559	17	19	17	4	9	7	16	13	5	6
otu1101	8	1	17	1	9	15	9	3	17	0
otu882	14	15	1	8	19	6	8	3	19	8
otu151	6	17	13	11	0	0	18	0	2	16
otu1254	4	8	16	13	16	6	18	13	1	17
otu2099	8	3	11	3	18	20	2	7	8	20
otu2817	16	17	2	3	15	17	0	0	6	17
otu1134	19	11	13	4	3	20	10	19	6	8
otu2772	3	9	13	18	7	6	8	17	10	16
otu2037	8	5	4	14	10	20	13	10	20	17
otu1493	15	5	3	12	14	9	19	0	4	17
otu1565	18	1	4	6	9	12	6	16	12	5
otu891	12	5	3	18	20	9	9	12	0	1
otu1513	13	3	19	3	12	12	4	13	8	13
otu858	2	15	16	4	15	6	12	4	18	11
otu496	10	16	10	1	4	20	17	4	8	0
otu260	10	12	14	0	17	20	15	0	20	11
otu2183	20	6	12	6	17	2	6	7	16	2
otu61	16	5	6	0	6	17	8	2	14	5
otu2415	7	19	10	16	9	14	18	11	19	8
otu2385	10	1	8	3	6	2	2	6	15	2
otu2189	5	12	0	18	3	16	6	5	15	2
otu435	0	5	19	17	10	16	6	15	9	13
otu315	16	9	13	8	4	20	13	5	16	1
otu2279	0	7	0	0	20	3	18	7	9	12
otu2743	7	13	18	11	15	6	15	12	17	2
otu2530	12	8	1	6	8	4	5	8	0	1
otu1525	15	18	11	10	4	4	10	2	16	13
otu1165	4	14	13	12	16	1	13	6	0	10
otu1490	13	20	9	3	17	16	20	8	8	2
otu1672	9	13	17	5	1	2	18	8	14	0
otu1839	3	19	18	6	15	17	12	19	14	20
otu847	1	20	1	4	9	12	20	10	12	1
otu701	16	5	5	7	20	15	13	3	20	16
otu2656	6	8	6	19	5	3	8	7	12	16
otu2343	2	19	12	16	8	7	18	0	9	19
otu293	9	20	10	6	1	15	15	9	8	17
otu12	5	14	8	14	16	20	10	12	9	19
otu23	10	15	12	17	5	1	19	11	20	19
otu2717	9	3	18	12	5	4	17	19	18	18
otu479	5	1	11	2	11	11	17	3	16	1
otu2550	13	10	9	2	6	6	0	4	19	12
otu916	15	12	14	1	10	11	5	2	11	20
otu1556	7	12	4	17	7	2	1	2	4	4
otu700	9	3	7	5	11	16	7	15	2	10
otu1408	5	9	18	17	10	1	7	11	0	14
otu84	13	8	5	7	17	12	18	18	20	18
otu1560	2	11	13	7	5	1	10	19	7	0
otu1022	17	11	18	20	9	5	3	5	20	19
otu231	13	6	3	8	14	8	1	14	9	12
otu716	11	8	13	14	18	17	14	17	7	18
otu2643	0	15	8	17	13	5	11	4	6	7
otu2286	20	18	8	13	3	4	2	13	0	19
otu1526	9	15	12	19	12	16	19	13	10	17
otu156	13	16	19	14	20	3	12	9	15	8
otu1353	18	2	2	19	15	18	11	0	0	20
otu2727	15	2	8	16	11	17	17	6	15	12
otu2599	11	13	12	15	6	13	18	20	15	15
otu749	8	18	19	7	1	13	17	1	6	9
otu216	20	17	11	10	16	15	0	20	0	12
otu2366	0	6	0	3	0	2	9	0	9	8
otu363	1	16	14	1	18	12	20	20	7	5
otu1692	13	8	1	16	0	10	19	9	0	9
otu302	10	15	11	11	1	2	5	19	4	15
otu2965	2	8	10	8	4	5	20	11	3	20
otu2506	16	3	17	3	8	3	2	12	7	19
otu1767	18	16	6	20	12	12	1	17	17	9
otu2724	20	20	18	11	8	12	4	0	15	17
otu1823	11	2	11	1	14	8	2	9	19	6
otu2278	14	12	17	15	9	12	0	1	11	8
otu388	16	20	3	16	20	16	18	16	14	12
otu2010	18	1	4	15	15	15	16	1	16	0
otu1785	16	7	15	13	5	19	2	15	19	2
otu1515	18	9	3	0	6	13	12	9	2	6
otu2551	12	8	16	19	9	8	0	15	9	13
otu1073	2	19	17	5	6	15	4	8	11	8
otu820	13	10	20	10	1	9	17	7	5	6
otu913	15	10	1	10	16	6	5	0	8	0
otu19	3	5	15	19	7	13	8	4	8	15
otu1933	4	20	18	0	4	1	19	5	6	3
otu294	14	20	7	4	6	6	3	3	17	8
otu271	20	14	9	17	12	15	2	7	15	11
otu2596	7	19	7	17	1	14	14	15	6	6
otu1026	8	10	17	19	11	19	0	20	15	11
otu641	7	15	3	7	20	3	18	9	8	18
otu2251	7	6	12	20	7	14	1	8	9	7
otu2789	8	3	11	9	4	5	18	16	8	17
otu772	4	15	17	3	6	8	0	0	8	2
otu1434	8	14	8	19	17	17	8	1	4	13
otu1721	13	11	14	2	3	16	16	1	4	6
otu1061	10	13	6	3	9	9	17	2	10	10
otu1131	15	12	4	12	16	5	0	8	16	0
otu1756	2	4	10	10	0	17	16	12	1	13
otu1985	13	20	8	0	15	6	2	16	6	14
otu2608	18	10	9	3	15	13	2	18	20	5
otu1185	12	16	17	14	14	10	12	20	13	1
otu2262	8	2	20	0	8	17	10	0	12	14
otu2810	8	2	8	18	12	7	20	7	9	0
otu2568	4	1	17	8	1	1	20	14	7	13
otu872	9	4	10	9	8	11	7	5	2	8
otu2267	6	19	19	8	20	14	7	10	13	9
otu1876	14	1	5	9	4	7	18	20	5	12
otu2956	9	11	1	11	7	13	20	2	9	12
otu65	16	19	1	0	13	1	18	3	15	18
otu2663	8	10	3	3	18	5	16	6	9	13
otu1597	11	6	3	11	13	8	10	20	16	16
otu781	19	14	9	13	6	1	6	1	5	11
otu1736	17	18	11	9	8	3	17	15	11	3
otu2340	14	18	6	5	7	17	8	2	13	2
otu1620	20	3	8	12	15	10	17	0	1	14
otu2685	12	0	1	8	12	1	18	3	17	13
otu426	15	6	14	19	13	0	17	1	13	5
otu1803	19	17	10	17	5	8	1	6	0	20
otu1735	3	6	6	8	5	6	14	19	3	12
otu2888	15	0	20	18	1	18	11	6	16	5
otu631	15	18	7	11	10	5	16	11	12	14
otu2258	10	3	9	15	5	12	17	8	20	0
otu319	17	12	18	13	0	19	5	0	7	5
otu1034	2	16	11	10	17	14	16	5	3	0
otu826	7	16	20	1	8	6	1	15	15	4
otu1332	10	18	16	20	18	0	2	11	12	0
otu1795	13	9	9	8	2	14	17	18	8	7
otu623	12	5	11	3	6	3	6	2	4	17
otu1905	2	4	17	14	20	6	2	3	12	4
otu1534	4	3	19	14	18	4	18	16	1	17
otu168	4	4	0	13	15	0	13	19	6	15
otu1246	5	13	15	12	19	5	5	15	13	14
otu804	17	7	9	6	9	4	9	9	15	18
otu885	13	5	2	15	9	2	0	20	10	20
otu1816	12	2	8	10	5	12	6	20	1	13
otu2917	13	4	0	4	20	5	1	16	2	19
otu2532	16	2	19	7	0	9	20	4	0	20
otu1593	0	15	16	8	20	6	6	19	2	12
otu2438	3	15	18	10	17	11	13	16	7	16
otu1326	0	3	14	14	13	7	19	11	9	13
otu326	13	15	4	18	5	17	8	1	18	0
otu410	17	6	15	0	3	16	2	4	7	15
otu1186	1	19	5	18	6	13	8	14	2	7
otu2832	2	13	20	15	17	8	10	6	5	0
otu1723	17	7	7	14	5	1	7	17	5	12
otu1935	3	19	20	6	20	1	10	7	14	5
otu1559	13	11	2	15	15	18	3	6	18	7
otu2848	2	14	1	5	8	7	10	1	17	14
otu698	18	4	0	7	18	14	20	12	9	8
otu2015	17	8	6	12	6	3	17	19	8	6
otu861	7	1	6	6	3	3	18	12	8	3
otu2853	2	1	7	16	10	18	7	19	6	14
otu1409	16	0	17	9	11	20	2	16	7	12
otu2529	17	11	11	1	0	19	9	5	11	14
otu2788	7	18	12	6	15	15	5	15	11	11
otu2974	9	15	0	6	19	18	13	9	12	10
otu2723	5	18	5	8	11	4	14	12	20	1
otu1361	15	0	3	5	10	16	5	11	7	15
otu691	6	6	12	15	17	19	10	18	4	20
otu1089	0	16	0	13	7	9	0	11	18	2
otu1272	7	2	3	14	16	18	20	4	20	1
otu2492	4	4	7	4	20	8	14	13	2	0
otu2426	16	4	12	18	13	6	20	11	7	5
otu1300	9	12	7	8	8	13	13	14	11	0
otu1071	5	6	6	7	5	17	5	14	3	18
otu397	9	16	9	4	6	12	10	11	10	19
otu1547	13	17	19	2	10	20	10	8	0	1
otu96	4	17	7	20	20	3	13	14	11	9
otu937	11	15	18	12	4	20	15	6	6	15
otu2336	8	10	12	6	0	16	1	16	11	8
otu600	15	4	16	9	11	18	5	6	20	4
otu2198	14	7	14	9	2	5	11	20	2	7
otu2356	8	13	18	0	17	12	3	4	20	0
otu904	8	2	20	14	0	17	9	20	0	11
otu2362	10	2	11	8	11	13	9	15	4	12
otu1285	18	18	17	4	8	4	18	20	2	0
otu464	14	10	13	12	16	1	5	20	4	13
otu2257	19	8	16	16	17	13	13	15	20	1
otu771	9	13	10	4	17	11	5	10	12	3
otu1827	12	14	10	13	7	9	12	4	9	8
otu873	17	19	15	3	20	14	6	16	15	12
otu1081	3	20	13	2	14	4	7	15	0	19
otu1787	18	5	7	4	8	13	10	16	3	8
otu158	19	12	4	6	17	15	12	12	19	6
otu1259	17	15	19	20	17	4	13	17	5	5
otu1184	6	3	7	4	1	12	13	7	5	19
otu537	9	7	16	5	11	12	2	4	11	14
otu2354	8	16	1	8	13	6	18	12	7	1
otu2702	13	5	19	3	0	7	14	13	15	5
otu1504	11	16	0	5	2	1	3	0	8	17
otu1489	15	7	5	18	12	12	4	20	10	17
otu2661	18	12	15	10	4	7	15	12	5	15
otu2715	13	19	18	19	3	16	16	17	13	8
otu119	2	8	7	5	4	12	14	5	11	13
otu2117	10	11	10	4	16	7	4	14	15	11
otu1367	10	17	15	12	8	8	15	10	3	9
otu2086	11	0	1	9	18	1	1	19	0	0
otu704	19	16	15	2	7	1	14	10	2	2
otu897	20	5	12	5	0	16	19	11	6	13
otu1191	14	14	20	1	20	10	3	7	3	13
otu1287	0	8	1	9	12	19	2	18	1	14
otu2691	17	16	10	18	9	17	1	15	6	9
otu2722	5	2	8	5	10	1	0	4	17	7
otu357	19	0	19	5	11	6	17	8	1	11
otu1908	6	19	18	11	12	3	14	4	3	6
otu1895	3	18	17	12	5	13	8	14	13	7
otu211	4	4	8	6	12	3	7	4	20	19
otu2254	6	16	16	14	17	5	17	8	17	4
otu2863	18	8	17	13	2	1	5	1	13	11
otu779	7	18	13	10	2	15	9	14	16	15
otu166	0	6	4	9	4	19	6	15	13	11
otu991	20	15	12	13	3	5	16	3	8	13
otu2622	5	14	17	9	5	18	8	14	17	16
otu2287	12	4	18	9	4	16	11	6	9	13
otu1399	10	15	20	5	4	6	0	7	15	13
otu478	12	10	5	15	18	4	5	0	11	5
otu1257	18	10	13	4	10	6	7	6	15	14
otu2313	6	16	9	8	3	8	16	15	7	14
otu1454	18	17	11	8	3	19	12	18	13	10
otu954	9	1	0	4	10	15	1	11	10	17
otu475	2	10	18	10	8	19	2	7	18	0
otu1844	16	12	0	0	19	13	5	1	5	9
otu2184	0	4	6	9	4	12	19	7	7	15
otu2318	15	20	5	0	19	13	13	5	10	19
otu992	1	1	0	8	1	7	11	5	10	12
otu2005	0	20	5	13	5	4	10	17	15	17
otu2912	2	10	3	9	15	1	16	8	13	18
otu1689	8	16	1	8	5	5	5	3	16	0
otu2483	10	9	2	5	9	4	20	12	4	19
otu2006	5	12	1	9	5	10	0	13	7	4
otu570	14	11	2	1	17	7	20	10	19	4
otu801	6	2	11	14	5	8	5	16	10	10
otu1987	6	6	12	19	8	18	8	18	6	7
otu301	8	10	11	14	4	4	5	18	11	3
otu2669	5	13	8	14	0	20	13	0	4	10
otu612	6	14	2	9	20	2	19	1	3	18
otu2531	2	8	18	16	6	0	7	3	17	20
otu2085	7	11	12	1	2	11	3	19	8	2
otu1091	11	2	1	2	6	19	20	4	0	7
otu1835	17	4	17	4	10	15	16	8	7	5
otu2901	3	1	12	1	19	7	3	18	5	15
otu1446	10	2	2	12	1	10	1	4	4	6
otu1863	7	10	20	3	4	16	1	3	10	14
otu58	16	14	5	6	5	7	17	9	14	13
otu176	12	5	7	1	2	8	1	0	13	19
otu1013	14	2	13	6	10	2	19	14	10	18
otu1889	7	12	4	4	8	2	8	13	6	8
otu2261	19	18	10	13	4	3	20	10	16	11
otu2303	20	3	10	13	6	1	4	9	17	0
otu1944	0	10	14	19	7	17	17	12	0	13
otu3	3	8	16	13	7	0	7	17	2	14
otu2466	1	5	17	0	15	17	20	9	10	10
otu551	13	18	4	13	4	18	4	19	3	18
otu1830	4	15	16	3	5	10	12	0	15	15
otu1283	20	9	16	18	20	4	4	8	1	3
otu2454	20	20	8	11	3	6	4	2	0	16
otu2109	11	2	9	6	8	16	7	3	10	15
otu80	17	19	16	16	9	1	4	10	12	12
otu1204	16	8	2	9	14	8	5	1	0	19
otu2671	11	11	6	1	20	7	1	12	19	11
otu2260	8	12	9	16	17	16	19	9	9	14
otu1738	17	20	8	8	1	20	13	8	0	5
otu2175	16	14	14	3	5	16	8	10	0	3
otu634	9	13	11	11	13	15	10	12	5	1
otu1973	11	1	5	10	11	7	2	4	13	20
otu1640	0	1	6	18	14	3	8	11	16	8
otu1875	9	5	18	10	3	3	20	13	13	9
otu277	3	13	10	0	16	12	19	10	2	16
otu1416	7	13	18	12	0	2	7	12	13	12
otu1998	8	16	20	18	6	3	12	18	16	19
otu2910	0	1	8	9	14	17	2	3	2	3
otu2935	6	13	12	13	19	10	19	4	20	13
otu1919	6	14	0	6	18	4	19	11	0	0
otu1658	2	14	15	0	14	6	5	6	11	1
otu2328	11	4	19	4	7	17	20	12	2	10
otu1472	6	15	9	18	5	16	3	14	17	17
otu1977	5	4	20	8	6	0	10	1	3	10
otu2600	1	5	18	4	3	4	11	9	19	5
otu867	5	18	2	8	15	19	5	20	12	6
otu2498	8	3	13	7	12	12	13	16	9	5
otu919	6	19	8	6	9	7	17	14	13	13
otu563	13	19	17	19	13	11	13	18	17	19
otu2973	3	7	10	3	0	14	10	20	14	4
otu1638	18	7	3	14	7	20	18	5	0	15
otu2840	8	20	15	3	10	7	4	15	13	20
otu2649	2	18	3	4	11	15	2	15	2	11
otu766	5	5	4	14	19	5	4	11	14	9
otu1558	15	5	3	0	16	0	16	20	19	10
otu2790	1	11	18	7	0	5	13	18	6	15
otu1717	20	14	5	16	8	0	20	8	1	8
otu2383	13	1	8	7	15	17	15	12	8	13
otu1647	20	12	10	20	18	0	13	6	7	1
otu1135	7	7	15	4	15	9	17	14	16	7
otu138	8	16	20	4	4	1	9	10	20	19
otu1205	19	2	8	18	1	1	20	4	16	13
otu1145	5	9	1	19	8	6	5	19	1	9
otu1344	15	14	20	5	15	10	17	20	12	4
otu2839	2	9	2	8	8	15	5	0	15	8
otu1871	10	3	4	18	10	1	15	13	11	0
otu2031	4	20	17	16	1	4	19	5	4	8
otu1682	1	13	14	10	13	5	8	16	2	7
otu2363	4	10	7	0	16	6	7	4	5	19
otu59	4	2	15	13	2	17	1	5	4	19
otu2420	16	20	14	3	9	18	8	5	4	6
otu969	19	9	1	6	9	10	12	7	5	8
otu911	18	0	11	16	7	6	20	16	3	4
otu282	18	18	10	0	18	0	6	4	14	18
otu2035	1	5	17	12	4	16	2	0	11	5
otu251	10	6	9	18	16	7	16	17	17	20
otu1664	13	12	2	5	8	13	5	10	17	11
otu2769	5	16	10	16	15	18	20	5	5	19
otu411	12	8	13	10	16	20	14	13	2	9
otu2355	3	6	17	7	14	9	0	7	16	20
otu579	16	5	17	8	6	7	1	5	16	5
otu2704	15	17	14	3	9	4	13	8	0	3
otu20	2	10	0	19	18	0	6	6	0	12
otu434	16	10	19	4	3	17	10	15	5	7
otu299	9	16	1	3	4	8	18	5	10	14
otu2394	18	2	13	15	2	6	5	5	11	19
otu1209	7	17	5	1	1	6	18	0	15	7
otu202	13	14	14	8	15	17	17	2	15	1
otu2764	13	4	3	8	7	5	17	18	1	18
otu624	18	18	17	11	5	2	3	2	10	16
otu893	13	13	16	16	4	17	13	17	3	1
otu2688	12	8	10	5	3	5	14	0	3	4
otu684	3	18	12	16	7	12	4	16	18	12
otu2716	15	11	11	20	0	18	8	8	18	16
otu995	15	10	9	20	5	2	7	15	5	16
otu1808	19	13	2	2	7	16	18	7	9	12
otu2706	13	19	0	5	16	7	5	14	1	4
otu487	3	2	17	19	5	0	12	14	6	0
otu2358	8	8	3	12	16	6	2	7	2	10
otu675	4	9	12	7	4	5	0	17	3	16
otu2676	5	8	13	1	7	10	16	18	7	10
otu296	10	0	20	13	12	9	13	9	2	13
otu1170	10	1	9	16	1	6	20	20	15	12
otu2809	13	20	18	7	0	17	5	16	1	9
otu409	14	7	11	9	4	15	1	15	16	4
otu455	10	19	7	15	15	20	8	19	15	2
otu1464	3	12	9	11	13	2	13	10	2	20
otu708	2	19	20	13	8	3	9	7	8	1
otu2080	1	1	1	18	5	5	3	13	15	11
otu2553	11	17	1	7	15	6	20	19	5	6
otu2939	8	20	13	14	11	6	7	19	1	4
otu513	4	13	19	19	17	16	0	17	19	9
otu802	19	10	16	2	17	14	18	11	10	11
otu2388	2	9	15	16	19	3	0	9	18	20
otu813	18	13	18	15	10	17	9	1	13	7
otu966	9	16	1	18	17	5	13	1	11	13
otu193	20	16	13	1	2	20	19	4	17	12
otu1395	11	11	9	20	6	8	20	3	12	3
otu48	3	16	18	7	1	0	13	11	17	8
otu191	11	19	9	6	15	17	19	12	14	7
otu2799	1	5	12	12	9	11	4	5	3	8
otu809	14	11	5	3	11	3	15	17	17	7
otu2945	4	3	9	0	12	18	4	16	19	19
otu1241	8	11	19	20	10	18	10	17	9	8
otu54	4	14	18	16	7	8	1	15	4	18
otu2308	12	13	11	10	2	10	6	17	13	2
otu415	11	6	14	20	3	5	2	15	0	7
otu2881	10	3	2	9	10	14	9	8	1	0
otu1828	16	11	5	9	4	19	4	4	11	3
otu848	14	19	10	9	16	0	2	8	19	15
otu395	4	4	1	4	16	8	2	4	9	15
otu86	15	16	4	19	12	1	14	11	14	17
otu1078	3	1	18	0	9	0	7	9	8	11
otu1120	1	5	12	14	4	10	19	20	11	14
otu2122	20	15	16	4	18	10	20	19	13	14
otu2107	3	7	7	9	15	20	9	12	19	12
otu909	8	14	18	19	1	5	19	0	16	18
otu1690	16	11	19	10	19	5	4	17	14	8
otu2147	7	14	1	7	7	7	4	4	1	18
otu1949	19	2	14	15	18	9	9	1	6	3
otu1519	15	6	12	0	16	7	15	7	9	18
otu1311	20	15	0	18	6	9	3	10	20	13
otu1402	9	8	20	2	14	9	15	6	13	14
otu1607	15	17	13	10	18	11	4	10	7	5
otu1798	4	8	4	2	17	10	9	6	0	16
otu2927	14	16	8	17	16	10	17	12	4	7
otu2798	16	7	13	19	13	0	20	0	4	12
otu2076	13	3	9	10	4	15	10	1	11	8
otu2327	17	0	20	9	20	13	16	2	20	18
otu621	7	11	4	16	2	1	17	3	7	16
otu672	7	11	6	3	19	13	12	20	17	17
otu1475	14	5	12	15	10	5	19	9	12	13
otu1398	2	10	13	7	7	7	4	1	2	0
otu2036	18	5	2	18	18	4	15	2	5	13
otu1772	0	18	4	12	5	14	5	10	12	20
otu408	4	8	12	20	10	2	17	8	0	6
otu1281	6	8	20	5	4	1	3	0	10	13
otu2089	15	0	13	5	18	4	2	17	3	17
otu2203	18	1	1	19	5	19	15	8	6	12
otu1576	10	8	14	18	13	16	7	16	19	13
otu699	9	1	15	18	12	13	13	18	9	0
otu2467	17	7	4	3	10	14	16	11	1	20
otu1847	9	7	8	20	1	17	13	14	6	10
otu2433	1	9	9	12	5	6	17	2	20	20
otu2576	17	8	17	19	11	16	18	14	2	20
otu1090	11	17	12	2	2	17	3	11	14	9
otu581	8	13	16	15	13	7	12	5	13	18
otu746	8	5	11	6	7	1	7	10	12	8
otu2642	1	0	13	19	17	17	10	6	1	1
otu1659	0	12	15	17	19	8	2	1	7	10
otu2707	15	6	7	2	18	4	3	19	6	16
otu1520	14	4	5	8	2	8	9	14	14	16
otu949	4	14	4	16	17	17	16	13	15	10
otu2463	8	1	10	0	10	7	5	8	18	17
otu2097	16	19	6	19	19	9	4	2	0	8
otu1198	20	14	2	19	12	6	3	15	17	4
otu1728	13	19	9	1	6	0	19	6	0	0
otu76	14	3	8	19	4	20	18	6	9	7
otu1147	14	19	5	10	9	7	1	14	10	5
otu816	15	11	1	7	8	10	7	2	1	18
otu870	11	3	11	17	9	14	8	11	9	1
otu1064	9	16	11	15	19	16	9	5	12	4
otu1643	5	16	7	3	19	2	12	1	12	20
otu1356	16	4	13	9	10	20	15	2	11	9
otu280	5	4	10	12	1	18	6	14	9	12
otu146	12	16	14	5	4	10	13	4	10	1
otu739	1	18	11	0	17	5	17	7	11	20
otu2317	3	2	14	20	19	4	15	7	1	6
otu2640	4	20	7	13	2	0	11	4	2	3
otu1897	12	14	0	5	15	3	9	10	15	11
otu2607	5	10	18	4	11	20	11	19	2	16
otu1178	20	8	12	15	20	4	3	17	2	12
otu577	15	17	12	6	20	13	10	9	12	19
otu472	7	0	20	3	0	17	6	14	6	10
otu957	12	11	16	16	14	6	9	9	19	4
otu2986	12	20	16	3	4	8	11	15	6	11
otu736	11	16	4	15	7	9	12	1	18	6
otu1993	8	9	3	6	6	13	20	17	16	7
otu1262	5	6	16	4	3	16	0	5	6	13
otu1060	0	14	2	6	14	17	9	20	17	3
otu1896	10	6	2	16	7	4	4	3	2	5
otu2631	1	20	5	8	2	1	0	6	8	10
otu2242	19	5	15	5	14	7	9	17	7	7
otu722	12	13	13	1	16	6	10	10	18	7
otu2697	16	10	8	3	12	20	9	12	17	8
otu28	20	19	3	8	19	6	3	8	6	20
otu2270	2	6	17	5	17	3	3	6	10	14
otu2333	1	14	16	2	4	2	10	4	7	14
otu340	11	14	11	2	19	0	12	12	4	1
otu1661	16	0	10	11	8	1	11	10	6	0
otu823	0	14	14	3	20	18	16	9	1	0
otu377	9	13	16	19	10	4	10	0	10	15
otu1379	15	7	15	0	10	5	17	13	6	11
otu2141	10	5	5	5	9	5	6	6	10	14
otu1683	3	12	11	8	15	19	17	19	5	18
otu517	4	1	6	5	18	15	5	9	1	14
otu2384	19	14	1	1	9	18	5	13	4	8
otu369	19	16	7	15	11	14	11	5	17	8
otu2208	11	8	11	19	13	0	18	15	0	10
otu1407	1	13	15	8	13	16	3	17	0	16
otu1652	14	2	4	18	2	17	2	7	16	13
otu2850	19	17	1	17	8	15	13	2	5	14
otu1746	14	20	11	4	4	13	19	3	4	15
otu2162	0	8	9	7	7	8	10	19	20	6
otu15	18	14	11	4	16	3	16	15	18	11
otu2730	4	1	15	4	7	15	9	12	1	16
otu239	20	6	8	16	12	4	5	11	5	4
otu651	18	12	10	1	0	8	6	6	19	12
otu1491	4	16	9	14	11	1	13	16	5	7
otu1495	17	17	7	3	13	17	5	5	11	13
otu2807	8	4	8	5	12	17	5	10	20	9
otu1030	15	4	9	3	8	3	5	1	1	9
otu715	10	20	0	5	11	11	15	17	17	18
otu2605	1	12	8	2	10	17	15	4	8	13
otu1086	8	13	4	4	10	1	8	16	6	8
otu1404	7	2	13	13	15	2	8	12	0	8
otu278	12	3	16	9	12	0	13	12	5	19
otu931	0	6	3	14	12	16	6	11	7	2
otu2964	18	9	4	0	14	20	16	8	9	18
otu1243	0	17	11	10	14	18	20	3	11	17
otu77	8	13	9	9	13	7	10	17	8	18
otu403	10	1	1	8	3	9	17	16	5	5
otu1095	16	8	17	18	1	0	5	2	11	7
otu1099	1	20	16	16	9	8	19	14	2	13
otu728	15	5	18	5	16	3	4	5	15	2
otu1042	7	14	0	12	13	18	10	1	19	8
otu2339	10	3	19	11	4	6	2	8	6	16
otu1076	2	10	4	3	9	2	5	14	8	13
otu2199	11	18	3	7	15	18	14	11	16	15
otu892	12	2	20	6	10	0	18	9	20	16
otu494	12	3	19	6	17	6	2	3	11	4
otu498	2	11	10	6	14	8	10	17	2	8
otu964	16	0	20	15	14	11	4	2	6	10
otu1527	0	18	14	16	2	3	16	5	20	6
otu1786	6	6	11	14	2	3	2	0	3	7
otu2558	16	10	15	10	19	13	6	3	9	10
otu605	17	14	3	15	16	3	2	2	2	11
otu1364	13	18	0	8	7	16	17	20	3	9
otu2054	0	20	10	13	3	15	0	2	19	13
otu1320	12	14	3	7	17	19	7	1	19	13
otu2314	7	19	1	8	10	5	20	7	1	17
otu2240	11	1	8	20	6	14	3	3	5	5
otu1757	15	17	0	3	2	8	20	20	16	16
otu2009	19	20	10	13	6	4	10	5	19	16
otu214	7	18	5	9	11	7	2	4	1	14
otu1080	7	6	0	17	1	9	14	9	9	13
otu2581	5	16	11	17	9	12	18	9	1	2
otu2521	1	11	10	1	0	12	17	5	4	0
otu1065	7	0	2	7	9	0	18	17	1	3
otu372	18	15	10	14	3	8	19	15	6	0
otu2410	6	16	15	14	6	5	16	17	11	7
otu2470	8	16	6	20	0	5	19	11	8	6
otu1972	8	5	17	5	12	4	1	19	8	7
otu696	17	11	8	1	17	4	3	4	2	7
otu1826	1	12	8	18	0	2	0	6	14	4
otu2	13	19	18	15	16	13	10	18	11	9
otu933	6	10	4	19	3	9	19	10	19	9
otu2827	8	12	9	19	14	19	1	13	9	15
otu64	17	3	16	15	6	2	4	3	17	1
otu1980	3	11	8	3	18	0	13	5	8	3
otu2237	5	17	16	10	4	3	15	9	15	4
otu1052	14	4	7	2	6	8	6	4	14	1
otu219	4	7	19	15	3	18	20	2	9	6
otu371	14	16	10	8	1	15	19	16	4	10
otu2021	17	2	0	15	1	15	9	14	12	11
otu595	0	8	0	17	2	4	18	13	7	17
otu1762	17	18	20	11	9	8	9	13	19	7
otu1583	12	1	14	20	9	8	0	5	7	4
otu2106	17	11	11	19	15	20	10	3	7	8
otu1443	15	2	19	1	7	12	11	19	17	6
otu2519	9	16	7	1	12	15	15	3	14	17
otu1992	10	10	0	0	6	12	10	4	12	2
otu2641	10	1	2	12	7	1	5	6	19	11
otu618	6	17	8	17	20	4	1	3	6	12
otu2860	0	20	12	11	3	13	11	4	2	0
otu2023	17	2	13	7	10	8	5	4	3	4
otu710	17	14	17	11	7	8	1	20	5	11
otu2604	3	8	15	4	19	2	16	4	13	13
otu1902	9	14	0	1	13	0	20	7	15	11
otu2033	19	5	20	18	2	1	3	15	6	12
otu1957	14	9	14	14	6	5	12	4	10	7
otu1467	15	10	10	17	4	1	2	1	17	1
otu165	5	14	5	15	7	12	7	10	17	1
otu606	3	16	17	8	9	10	13	9	9	9
otu1267	7	10	16	1	9	1	17	9	4	5
otu38	17	4	10	3	8	6	13	1	12	6
otu2404	8	15	20	4	9	9	3	20	2	18
otu2761	5	19	0	8	19	16	18	15	4	15
otu1687	1	19	9	2	1	1	14	11	10	13
otu567	16	12	1	15	6	1	12	10	6	7
otu1945	17	20	19	12	1	5	14	5	4	5
otu1002	10	8	18	16	9	5	18	17	9	11
otu2686	8	13	12	2	17	1	2	4	14	11
otu1258	5	12	5	1	18	18	12	19	17	19
otu1260	0	18	15	6	20	6	5	18	9	4
otu853	12	18	17	14	12	3	18	10	10	9
otu1067	20	15	17	3	3	12	19	13	12	1
otu1096	12	9	20	20	13	2	4	4	0	10
otu1168	10	2	7	6	1	0	15	11	18	1
otu1901	12	5	17	0	16	9	1	16	0	2
otu2501	6	2	5	4	1	13	12	15	5	13
otu1782	12	11	8	4	8	0	7	1	16	16
otu2213	18	13	14	0	15	12	20	19	3	6
otu1337	18	17	10	2	14	7	20	0	15	20
